,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
154868,4,5,2,4,3,4,4,4,4,3,1,3
437282,5,4,2,4,3,3,4,3,4,3,2,2
223374,4,4,2,4,3,4,4,3,4,3,2,3
229787,4,4,2,4,3,3,4,3,3,3,1,2
158168,4,4,2,4,3,3,4,3,3,3,1,2
86825,4,3,2,3,3,3,4,3,4,4,1,3
551360,4,3,2,2,3,3,3,3,3,2,1,2
285502,4,5,2,4,4,4,4,4,4,3,1,3
419682,2,2,1,0,0,1,2,1,2,2,1,1
18792,3,3,2,2,3,3,3,3,3,3,1,2
333401,4,4,2,4,3,3,4,3,4,3,2,2
448792,4,4,2,4,3,3,3,3,4,3,2,2
316193,3,3,1,1,3,1,1,1,3,2,0,1
303999,3,2,2,0,3,2,3,3,3,3,2,2
594544,2,2,1,1,0,1,1,1,2,2,1,1
180045,3,4,2,1,2,2,2,2,1,2,2,1
143011,4,4,2,3,3,3,3,3,4,3,2,2
27176,3,3,2,3,3,3,3,3,3,3,1,2
224506,4,4,2,3,3,3,3,3,4,3,2,2
131278,2,2,1,1,2,1,1,2,2,2,1,1
148484,2,2,1,1,2,1,2,1,3,2,1,1
163297,3,3,2,2,2,2,3,3,3,3,1,2
407141,3,2,2,1,2,2,1,2,1,2,0,1
390696,3,2,2,2,2,3,3,3,3,2,1,1
166288,1,2,1,3,2,3,3,1,2,2,1,1
16575,2,2,1,0,2,0,2,1,1,2,1,1
205640,5,4,3,4,3,4,4,4,5,4,2,3
90534,3,2,2,2,2,0,3,1,2,2,1,1
40766,3,3,2,2,2,0,2,2,3,2,1,2
258233,3,3,2,2,2,3,3,3,3,2,1,2
214307,5,3,2,2,3,3,3,3,3,3,1,2
205305,5,4,2,4,3,4,4,3,4,3,2,3
449587,2,2,2,3,2,0,3,1,2,2,1,1
357157,2,0,1,0,0,1,0,1,1,0,1,0
286400,4,5,2,5,3,4,4,4,5,4,3,3
593600,4,4,2,3,3,3,4,4,4,4,3,3
27325,3,2,2,2,2,1,2,1,3,2,1,1
15274,4,4,2,4,3,3,4,3,3,3,1,3
182139,5,4,2,4,3,3,3,3,5,3,2,2
202304,4,3,2,4,4,4,4,3,4,3,1,3
150326,4,2,2,3,3,3,3,3,4,2,2,1
369007,4,3,2,3,4,4,4,4,4,4,1,3
146861,5,5,2,4,4,4,4,4,4,3,1,3
242494,5,5,3,4,3,4,4,4,4,4,2,3
22231,3,3,2,3,3,3,3,3,3,2,1,1
200613,5,5,2,4,4,4,4,4,4,4,4,4
503956,3,3,2,2,2,3,3,3,3,3,1,2
189360,3,2,1,1,0,1,2,1,2,0,1,1
32534,3,3,2,2,2,2,2,3,3,2,1,1
455827,4,3,2,3,2,3,3,3,3,2,1,2
353391,4,4,2,2,3,3,3,3,3,3,2,2
30706,4,4,2,4,3,4,4,4,5,4,2,3
328918,3,3,2,2,2,3,3,3,3,2,1,2
289238,3,3,2,3,3,3,3,3,3,2,1,2
62751,2,2,1,0,2,1,2,1,3,2,1,1
50761,4,3,2,3,3,3,4,3,4,3,1,3
6793,4,5,2,5,4,4,4,4,4,4,3,3
